Date, Open, High, Low, Close
04/07/23, 6.8759, 6.8799, 6.8662, 6.8707
04/06/23, 6.8795, 6.8840, 6.8722, 6.8759
04/05/23, 6.8799, 6.8800, 6.8794, 6.8795
04/04/23, 6.8782, 6.8851, 6.8763, 6.8799
04/03/23, 6.8688, 6.8948, 6.8688, 6.8782
03/31/23, 6.8719, 6.8768, 6.8454, 6.8688
03/30/23, 6.8871, 6.9078, 6.8717, 6.8719
03/29/23, 6.8745, 6.8934, 6.8739, 6.8871
03/28/23, 6.8851, 6.8877, 6.8729, 6.8745
03/27/23, 6.8681, 6.8907, 6.8680, 6.8851
03/24/23, 6.8199, 6.8805, 6.8197, 6.8681
03/23/23, 6.8807, 6.8807, 6.8175, 6.8199
03/22/23, 6.8845, 6.8935, 6.8776, 6.8807
03/21/23, 6.8786, 6.8857, 6.8695, 6.8845
03/20/23, 6.8871, 6.9032, 6.8753, 6.8786
03/17/23, 6.8982, 6.8987, 6.8622, 6.8871
03/16/23, 6.9069, 6.9110, 6.8907, 6.8982
03/15/23, 6.8716, 6.9090, 6.8715, 6.9069
03/14/23, 6.8457, 6.8860, 6.8457, 6.8716
03/13/23, 6.9063, 6.9172, 6.8371, 6.8457
03/10/23, 6.9647, 6.9714, 6.9020, 6.9063
03/09/23, 6.9517, 6.9742, 6.9510, 6.9647
03/08/23, 6.9622, 6.9773, 6.9466, 6.9517
03/07/23, 6.9301, 6.9628, 6.9229, 6.9622
03/06/23, 6.9074, 6.9350, 6.9043, 6.9301
03/03/23, 6.9153, 6.9153, 6.8882, 6.9074
03/02/23, 6.8691, 6.9183, 6.8691, 6.9153
03/01/23, 6.9334, 6.9334, 6.8623, 6.8691
02/28/23, 6.9450, 6.9490, 6.9308, 6.9334
02/27/23, 6.9562, 6.9733, 6.9427, 6.9450
02/24/23, 6.9081, 6.9604, 6.9080, 6.9562
02/23/23, 6.8922, 6.9081, 6.8796, 6.9081
02/22/23, 6.8736, 6.8997, 6.8734, 6.8922
02/21/23, 6.8551, 6.8807, 6.8550, 6.8736
02/20/23, 6.8677, 6.8725, 6.8511, 6.8551
02/17/23, 6.8607, 6.8851, 6.8606, 6.8677
02/16/23, 6.8530, 6.8667, 6.8431, 6.8607
02/15/23, 6.8269, 6.8535, 6.8241, 6.8530
02/14/23, 6.8229, 6.8310, 6.8099, 6.8269
02/13/23, 6.8095, 6.8339, 6.8094, 6.8229
02/10/23, 6.7807, 6.8137, 6.7806, 6.8095
02/09/23, 6.7892, 6.7923, 6.7730, 6.7807
02/08/23, 6.7927, 6.7927, 6.7716, 6.7892
02/07/23, 6.7949, 6.7954, 6.7745, 6.7927
02/06/23, 6.7751, 6.7962, 6.7709, 6.7949
02/03/23, 6.7324, 6.7815, 6.7321, 6.7751
02/02/23, 6.7420, 6.7424, 6.7108, 6.7324
02/01/23, 6.7547, 6.7551, 6.7394, 6.7420
01/31/23, 6.7488, 6.7585, 6.7488, 6.7547
01/30/23, 6.7835, 6.7845, 6.7456, 6.7488
01/27/23, 6.7835, 6.7845, 6.7832, 6.7835
01/26/23, 6.7840, 6.7845, 6.7833, 6.7835
01/25/23, 6.7845, 6.7848, 6.7839, 6.7840
01/24/23, 6.7846, 6.7846, 6.7845, 6.7845
01/23/23, 6.7838, 6.7846, 6.7838, 6.7845
01/20/23, 6.7769, 6.7885, 6.7681, 6.7838
01/19/23, 6.7481, 6.7892, 6.7480, 6.7769
01/18/23, 6.7739, 6.7873, 6.7431, 6.7481
01/17/23, 6.7336, 6.7826, 6.7335, 6.7739
01/16/23, 6.7030, 6.7345, 6.6910, 6.7336
01/13/23, 6.7387, 6.7391, 6.7029, 6.7030
01/12/23, 6.7705, 6.7708, 6.7306, 6.7387
01/11/23, 6.7785, 6.7878, 6.7629, 6.7705
01/10/23, 6.7725, 6.7893, 6.7540, 6.7785
01/09/23, 6.8385, 6.8387, 6.7601, 6.7725
01/06/23, 6.8818, 6.8829, 6.8367, 6.8385
01/05/23, 6.8886, 6.8900, 6.8688, 6.8818
01/04/23, 6.9151, 6.9151, 6.8791, 6.8886
01/03/23, 6.8986, 6.9236, 6.8761, 6.9151
01/02/23, 6.8983, 6.8987, 6.8983, 6.8986
12/30/22, 6.9641, 6.9641, 6.8932, 6.8983
12/29/22, 6.9787, 6.9810, 6.9612, 6.9641
12/28/22, 6.9601, 6.9787, 6.9601, 6.9787
12/27/22, 6.9622, 6.9683, 6.9491, 6.9601
12/26/22, 6.9893, 6.9906, 6.9584, 6.9622
12/23/22, 6.9845, 6.9978, 6.9811, 6.9893
12/22/22, 6.9820, 6.9846, 6.9738, 6.9845
12/21/22, 6.9619, 6.9838, 6.9618, 6.9820
12/20/22, 6.9795, 6.9894, 6.9609, 6.9619
12/19/22, 6.9733, 6.9854, 6.9695, 6.9795
12/16/22, 6.9732, 7.1506, 6.9644, 6.9733
12/15/22, 6.9506, 6.9780, 6.9470, 6.9732
12/14/22, 6.9448, 6.9635, 6.9393, 6.9506
12/13/22, 6.9775, 6.9886, 6.9444, 6.9448
12/12/22, 6.9578, 6.9881, 6.9578, 6.9775
12/09/22, 6.9674, 6.9675, 6.9449, 6.9578
